category,content_id,id,user_id,body,position,created_at,updated_at
critical,29913852,1764023,4768,"You must also add here some details about the product, for example, the product name.",146,2017-06-06T15:37:41.442Z,2017-06-06T15:37:41.442Z
nitpick,29913852,1764019,4768,"It is a good practice to use only the global variables you need, it is better to use local variables as the local variables will be created when the method starts and destroyed when the method finishes, global variables will always occupy space in RAM memory while the activity is alive.

You have done a very good job with global variables in this project, just take this in mind for future projects :)",79,2017-06-06T15:36:49.234Z,2017-06-06T15:36:49.234Z
critical,27111286,1696706,397,"True, but what are the steps you took to get to this point?  

- What did you need to do to build the Vagrant environment this program runs in?
- What did you need to do to load the data in the ""news"" database?
- What directory does newsdata.py reside in?

When answering these questions, consider what the project specifications ask for: ""Imagine a person who knows Python and SQL well, but has not done this project.  If that person read the README would they know how to run this code?""",14,2017-05-22T17:07:58.472Z,2017-05-22T17:08:51.213Z
awesome,27111286,1696664,397,"As you say, there are several ways to solve this problem, and your approach is in fact a very good plan.",32,2017-05-22T16:56:02.077Z,2017-05-22T16:56:02.077Z
critical,27111286,1696607,397,"Per one of the project requirements, be sure to include the CREATE VIEW syntax in your README file for all of the views you use in your project.",15,2017-05-22T16:40:32.341Z,2017-05-22T16:40:32.341Z
awesome,26961839,1676484,4203,"I'm glad you were able to put those problem-solving skills to work. :smile: You did a really good job figuring out how to do the different parts.

Getting input from others is very helpful with learning how to code, too, and it can be rather useful for those skilled in coding already. Through interacting with others, we can grow from the input and feedback we receive, and sometimes just plain talking back and forth can really help you understand a topic.",17,2017-05-17T17:16:47.484Z,2017-05-17T17:19:22.787Z
nitpick,26961839,1676468,4203,"Keeping yourself motivated and on task can be tricky. Some people find things like the [Pomodoro technique](https://en.wikipedia.org/wiki/Pomodoro_Technique) to be helpful. There are different browser extensions/plugins that might help, such as [StayFocusd](https://chrome.google.com/webstore/detail/stayfocusd/laankejkbhbdhmipfmgcngdelahlfoji?hl=en) for Chrome and [LeechBlock](http://www.proginosko.com/leechblock/) for Firefox that try to help you avoid distractions.

I personally like using [Habitica](http://habitica.com/), which is like a to-do list game. I always had trouble organizing myself, and I couldn't figure out where to start to fix that. (I would always fail at starting the plan to do so...which means you don't get anywhere.) But even if you aren't really a game person, it's an easy way to put together a bunch of to-do lists, and you can even use it from your phone.

If you're more of a paper person, you might find a [Bullet Journal](https://www.youtube.com/watch?v=17Ykq55jFdU) or a planner helpful. Bullet Journals can be customized however you like, but a planner has a base build all setup for you.

-----

Something that can help with the whole looking up process is to save what good sites and pages you find. Then, if you need it again, you don't have to try to hunt it down and remember how you found it before. Some browsers let you attach an account so that you can share your bookmarks across different browsers. There's also bookmarking sites like [Diigo](http://diigo.com/). When you start using Git and GitHub, you could make a repo where you organize your links. And you could always do that with a personal wiki instead. (I like [TiddlyWiki](http://tiddlywiki.com/) myself.)",16,2017-05-17T17:09:44.174Z,2017-05-17T17:17:20.886Z
critical,27596555,1693751,31271,请为该函数添加注释。,16,2017-05-22T00:54:52.544Z,2017-05-22T00:54:52.544Z
critical,27596555,1693748,31271,请为该函数添加注释。,9,2017-05-22T00:54:45.666Z,2017-05-22T00:54:45.666Z
nitpick,29173342,1740866,24195,You can refactor this into a separate method.,272,2017-06-01T06:07:40.171Z,2017-06-01T06:07:40.171Z
nitpick,29173342,1740857,24195,You can merge ``` max_value ``` and ``` min_value ``` into a single method as both the methods are almost same.,292,2017-06-01T06:06:43.452Z,2017-06-01T06:06:43.452Z
nitpick,29173342,1740849,24195,You can convert these as constants and then use them.,39,2017-06-01T06:05:29.922Z,2017-06-01T06:05:29.922Z
nitpick,29173342,1740847,24195,"Have a look at these link. It will help you in writing better python code.
1. [Style guide](https://google.github.io/styleguide/pyguide.html)
2. [Logging](https://docs.python.org/3/library/logging.html)
3. [Pdb](https://docs.python.org/3/library/pdb.html)",2,2017-06-01T06:05:02.711Z,2017-06-01T06:05:02.711Z
nitpick,35005937,1898107,10086,"## Tip :zap: ##
Since there's no code inside ``loadFeed()``'s anonymous callback function, this piece of code can be simplified to:
```
loadFeed(0, done);
```",93,2017-07-05T19:50:37.514Z,2017-07-05T19:50:37.514Z
